CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"100905105","SOUR LAKE EL"," ","N","N","N","N","N","N","N","N","M"," ","HARDIN-JEFFERSON ISD","100905","05","PK","PK - 05","E"
"100907001","LUMBERTON H S"," ","N","N","N","N","N","N","N","N","M"," ","LUMBERTON ISD","100907","12","09","09 - 12","S"
"100907041","LUMBERTON MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LUMBERTON ISD","100907","08","07","07 - 08","M"
"100907101","LUMBERTON PRI"," ","N","N","N","N","N","N","N","N","M"," ","LUMBERTON ISD","100907","03","01","01 - 03","E"
"100907102","LUMBERTON EARLY CHILDHOOD SCH"," ","N","N","N","N","Y","N","N","N","M"," ","LUMBERTON ISD","100907","KG","EE","EE - KG","E"
"100907103","LUMBERTON INT"," ","N","N","N","N","N","N","N","N","M"," ","LUMBERTON ISD","100907","06","04","04 - 06","E"
"100908001","WEST HARDIN H S"," ","N","N","N","N","N","N","N","N","M"," ","WEST HARDIN COUNTY CISD","100908","12","07","07 - 12","S"
"100908003","HARDIN CO ALTERNATIVE AEP"," ","N","N","N","N","N","N","Y","N","Z"," ","WEST HARDIN COUNTY CISD","100908","09","09","09 - 09","S"
"100908101","WEST HARDIN EL"," ","N","N","N","N","N","N","N","N","M"," ","WEST HARDIN COUNTY CISD","100908","06","EE","EE - 06","E"
"101802041","SER-NINOS CHARTER MIDDLE"," ","N","N","Y","N","N","N","N","N","M"," ","SER-NINOS CHARTER SCHOOL","101802","08","06","06 - 08","M"
"101802101","SER-NINOS CHARTER EL"," ","N","N","Y","N","N","N","N","N","M"," ","SER-NINOS CHARTER SCHOOL","101802","05","PK","PK - 05","E"
"101802102","SER-NINOS CHARTER EL II"," ","N","N","Y","N","N","N","N","N","M"," ","SER-NINOS CHARTER SCHOOL","101802","05","PK","PK - 05","E"
"101803001","ARISTOI CLASSICAL UPPER SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","ARISTOI CLASSICAL ACADEMY","101803","11","05","05 - 11","B"
"101803041","ARISTOI CLASSICAL ACADEMY"," ","N","N","Y","N","N","N","N","N","M"," ","ARISTOI CLASSICAL ACADEMY","101803","04","KG","KG - 04","E"
"101804001","GEORGE I SANCHEZ H S","AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","A"," ","GEORGE I SANCHEZ CHARTER","101804","12","PK","PK - 12","B"
"101804004","GEORGE I SANCHEZ NORTH","AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","A"," ","GEORGE I SANCHEZ CHARTER","101804","07","06","06 - 07","M"
"101806001","RAUL YZAGUIRRE SCHOOL FOR SUCCESS"," ","N","N","Y","N","N","N","N","N","M"," ","RAUL YZAGUIRRE SCHOOL FOR SUCCESS","101806","12","09","09 - 12","S"
"101806042","RAUL YZAGUIRRE SCHOOL FOR SUCCESS"," ","N","N","Y","N","N","N","N","N","M"," ","RAUL YZAGUIRRE SCHOOL FOR SUCCESS","101806","08","06","06 - 08","M"
"101806101","RAUL YZAGUIRRE SCHOOL FOR SUCCESS"," ","N","N","Y","N","N","N","N","N","M"," ","RAUL YZAGUIRRE SCHOOL FOR SUCCESS","101806","08","KG","KG - 08","E"
"101806102","RAUL YZAGUIRRE SCHOOL FOR SUCCESS"," ","N","N","Y","N","N","N","N","N","M"," ","RAUL YZAGUIRRE SCHOOL FOR SUCCESS","101806","05","KG","KG - 05","E"
"101807101","UNIV OF HOUSTON CHARTER SCH-TECH"," ","N","N","Y","N","N","N","N","N","M"," ","UNIVERSITY OF HOUSTON CHARTER SCHO","101807","05","KG","KG - 05","E"
"101810002","ACADEMY OF ACCELERATED LEARNING"," ","N","N","Y","N","N","N","N","N","M"," ","ACADEMY OF ACCELERATED LEARNING IN","101810","05","PK","PK - 05","E"
"101811001","HARRIS COUNTY JUVENILE DETENTION C","RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","X"," ","EXCEL ACADEMY","101811","11","05","05 - 11","B"
"101811003","BURNETT-BAYLAND REHABILITATION CEN","RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","X"," ","EXCEL ACADEMY","101811","11","06","06 - 11","B"
"101811004","HARRIS COUNTY YOUTH VILLAGE","RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","X"," ","EXCEL ACADEMY","101811","12","07","07 - 12","S"
"101811006","LEADERSHIP ACADEMY","RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","X"," ","EXCEL ACADEMY","101811","12","07","07 - 12","S"
"101811008","EXCEL ACADEMY"," ","N","N","Y","N","N","N","N","Y","X"," ","EXCEL ACADEMY","101811","11","09","09 - 11","S"
"101813001","KIPP ACADEMY MIDDLE"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813003","KIPP HOUSTON H S"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","12","09","09 - 12","S"
"101813004","KIPP GENERATIONS COLLEGIATE"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","12","09","09 - 12","S"
