CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETSPEC,CPETSPEP,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"001906002"," ","NECHES H S",88," ","N","N","N","N","N","N","N","N","ANDERSON","001",18,15.1,119,105,0,0,42,40,0,0,15,14.3,"Met Standard",.,"NECHES ISD","001906","12","09","09 - 12","S"
"001906102"," ","NECHES EL",80," ","N","N","N","N","N","N","N","N","ANDERSON","001",29,12.1,239,255,0,0,129,50.6,5,2,20,7.8,"Met Standard",.,"NECHES ISD","001906","08","PK","PK - 08","E"
"001907001"," ","PALESTINE H S",79," ","N","N","N","N","N","N","N","N","ANDERSON","001",126,12.2,1037,966,0,0,558,57.8,61,6.3,85,8.8,"Met Standard",.,"PALESTINE ISD","001907","12","09","09 - 12","S"
"001907041"," ","PALESTINE J H",80," ","N","N","N","N","N","N","N","N","ANDERSON","001",66,12.5,528,504,0,0,356,70.6,92,18.3,60,11.9,"Met Standard",.,"PALESTINE ISD","001907","08","07","07 - 08","M"
"001907101"," ","NORTHSIDE PRI",56," ","N","N","N","N","N","N","N","N","ANDERSON","001",36,13.4,269,504,0,0,346,68.7,95,18.8,43,8.5,"Improvement Required",1,"PALESTINE ISD","001907","01","KG","KG - 01","E"
"001907102"," ","WASHINGTON EARLY CHILDHOOD CENTER",56," ","N","N","N","N","Y","N","N","N","ANDERSON","001",.,.,.,191,0,0,190,99.5,34,17.8,16,8.4,"Improvement Required",1,"PALESTINE ISD","001907","PK","EE","EE - PK","E"
"001907107"," ","SOUTHSIDE EL",56," ","N","N","N","N","N","N","N","N","ANDERSON","001",73,13.2,554,488,0,0,367,75.2,132,27,36,7.4,"Improvement Required",1,"PALESTINE ISD","001907","03","02","02 - 03","E"
"001907110"," ","STORY INT",73," ","N","N","N","N","N","N","N","N","ANDERSON","001",104,12.6,823,761,0,0,542,71.2,164,21.6,75,9.9,"Met Standard",.,"PALESTINE ISD","001907","06","04","04 - 06","E"
"001908002"," ","WESTWOOD H S",83," ","N","N","N","N","N","N","N","N","ANDERSON","001",87,17.8,488,424,.,0,191,45,20,4.7,50,11.8,"Met Standard",.,"WESTWOOD ISD","001908","12","09","09 - 12","S"
"001908041"," ","WESTWOOD J H",83," ","N","N","N","N","N","N","N","N","ANDERSON","001",37,14.5,256,242,.,0,132,54.5,15,6.2,27,11.2,"Met Standard",.,"WESTWOOD ISD","001908","08","07","07 - 08","M"
"001908101"," ","WESTWOOD EL",56," ","N","N","N","N","N","N","N","N","ANDERSON","001",62,12.3,505,459,.,0,278,60.6,24,5.2,57,12.4,"Improvement Required",1,"WESTWOOD ISD","001908","06","03","03 - 06","E"
"001908102"," ","WESTWOOD PRI",56," ","N","N","N","N","N","N","N","N","ANDERSON","001",45,15.5,290,434,.,0,327,75.3,37,8.5,35,8.1,"Improvement Required",1,"WESTWOOD ISD","001908","02","EE","EE - 02","E"
"001909001"," ","SLOCUM H S",86," ","N","N","N","N","N","N","N","N","ANDERSON","001",17,14.3,119,114,0,0,48,42.1,1,0.9,20,17.5,"Met Standard",.,"SLOCUM ISD","001909","12","09","09 - 12","S"
"001909101"," ","SLOCUM PK - 8",76," ","N","N","N","N","N","N","N","N","ANDERSON","001",51,18.5,275,309,0,0,160,51.8,4,1.3,33,10.7,"Met Standard",.,"SLOCUM ISD","001909","08","PK","PK - 08","E"
"002901001"," ","ANDREWS H S",79," ","N","N","N","N","N","N","N","N","ANDREWS","002",131,12.3,1069,1056,.,0,336,31.8,63,6,83,7.9,"Met Standard",.,"ANDREWS ISD","002901","12","09","09 - 12","S"
"002901002"," ","ANDREWS EDUCATION CENTER",75,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ANDREWS","002",63,82.9,76,43,.,0,16,37.2,6,14,1,2.3,"Met Alternative Standard",.,"ANDREWS ISD","002901","12","09","09 - 12","S"
"002901041"," ","ANDREWS MIDDLE",78," ","N","N","N","N","N","N","N","N","ANDREWS","002",95,9.7,982,924,.,0,348,37.7,94,10.2,81,8.8,"Met Standard",.,"ANDREWS ISD","002901","08","06","06 - 08","M"
"002901101"," ","DEVONIAN EL",72," ","N","N","N","N","N","N","N","N","ANDREWS","002",82,12.5,658,610,.,0,257,42.1,87,14.3,35,5.7,"Met Standard",.,"ANDREWS ISD","002901","03","02","02 - 03","E"
