CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"014801007","RICHARD MILBURN ACADEMY CORPUS CHR","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801008","RICHARD MILBURN ACADEMY AMARILLO","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801009","RICHARD MILBURN ACADEMY PASADENA","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801010","RICHARD MILBURN ACADEMY MIDLAND SO","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014803002","GEORGETOWN CHARTER ACADEMY","N","Y","PRIORITY CHARTER SCHOOLS","014803","PK - 08","E"
"014803003","COVE CHARTER ACADEMY","N","Y","PRIORITY CHARTER SCHOOLS","014803","PK - 12","B"
"014803004","CEDAR PARK CHARTER ACADEMY","N","Y","PRIORITY CHARTER SCHOOLS","014803","PK - 11","B"
"014803101","TEMPLE CHARTER ACADEMY","N","Y","PRIORITY CHARTER SCHOOLS","014803","PK - 12","B"
"014804002","NEW HORIZONS","Y","Y","ORENDA CHARTER SCHOOL","014804","02 - 11","B"
"014804005","GATEWAY TECH H S","Y","Y","ORENDA CHARTER SCHOOL","014804","09 - 12","S"
"014804006","GATEWAY COLLEGE PREPARATORY SCHOOL","N","Y","ORENDA CHARTER SCHOOL","014804","KG - 12","B"
"014804007","NOLAN CREEK SCHOOL","N","Y","ORENDA CHARTER SCHOOL","014804","KG - 07","E"
"014804008","KINGSLAND SCHOOL","N","Y","ORENDA CHARTER SCHOOL","014804","KG - 09","B"
"014901001","ACADEMY H S","N","N","ACADEMY ISD","014901","09 - 12","S"
"014901041","ACADEMY J H","N","N","ACADEMY ISD","014901","06 - 08","M"
"014901101","ACADEMY INT","N","N","ACADEMY ISD","014901","03 - 05","E"
"014901102","ACADEMY EL","N","N","ACADEMY ISD","014901","EE - 02","E"
